Author	Rating	Review	Restaurant	Location
Jia Pin Lee	4	Came here for the High Tea. Great service especially by Mr. Jeet. He's friendly, accommodating and polite. Thank you for your great service.	Cuisines Restaurant	Ipoh
Chui Yi Lum	2	5 stars for the service, even though some of the staffs need to be trained better, but that doesnâ€™t affect the overall experience. Iâ€™m from the industry itself so they should be given the opportunities.	Cuisines Restaurant	Ipoh
liezel wong	1	Hi, thank you for your service. But! i feel so sorry for the food. They deserve more love. Ur Nasi Lemak Specialll tasted like yesterday's breakfast. Everything under seasoned. Rice tasted like chlorine. I went to Old Town the next day and	Cuisines Restaurant	Ipoh
Nazri Nor	1	I have the worse buffer dinner ever so far. The spread is so small, chicken kung po without cashew nut, salty lamb dishes n hard to eat bbq meat to name a few. Very bad experience n the buffet quite expensive.	Cuisines Restaurant	Ipoh
Fakru Imran's Channel	5	That's are Known 5 Elmark " 9H72 " & KDK " 3 K14Y9 & 1 K14Y5 " Ceiling Fan can't believe was Known nice restaurant isn't that upcoming video kipas Siling	Cuisines Restaurant	Ipoh
Shukri Said	2	I just came back from there. 2 adults and 4 young children. We were looking for an exclusive dine-in experience after a hectic week, we were disappointed.	Cuisines Restaurant	Ipoh
Yosuke	2	Restaurant looks nice but taste is bad. I had BBQ buffet as attached. Flyer looks so nice so I expected but actually there are few variety of dishes, beef is not worth for the price. Coffee is instant.. Staff are taking plates away fast.. too fast..	Cuisines Restaurant	Ipoh
Hadie Rahman	4	Pros: ambience is great with lake view, good air condition restaurant due Ipoh weather always hot, good and fast service waiter and waitress, accept touch and go e-wallet, free parking but open under hot sunshine, food tastes good	Cuisines Restaurant	Ipoh
Abdul Qavi Mohammed	1	We went to this place after reviews on Tripadvisor totally disappointing experience .	Cuisines Restaurant	Ipoh
BingYao Li	4	the restaurant is located inside the hotel, the day i came many dishes were not available. but at least the food we ordered the taste was ok, not bad	Cuisines Restaurant	Ipoh
Mohd a-B	3	Overall just okay. Can further improve.	Cuisines Restaurant	Ipoh
Haniff	5	No 1 in Ipoh. Worth the try.	Cuisines Restaurant	Ipoh
Anton Wong	5	Awesome F&B service staff and good breakfast buffet.	Cuisines Restaurant	Ipoh
Mango Wai	5	Good breakfast with wide variety of food..	Cuisines Restaurant	Ipoh
Captain Sidekick	3	The ala carte food in the menu is quite expensive but luckily the environment there are quite superb and nice	Cuisines Restaurant	Ipoh
MAZRAH ABDUL MAJID	5	Nice food	Cuisines Restaurant	Ipoh
Md Hadiuzzaman	5	Best healthy food in perak..	Cuisines Restaurant	Ipoh
Fardly Ajoe	3	Ok	Cuisines Restaurant	Ipoh
Ding Jing Chuah	4	Food is not bad with wonderful atmosphere. Plenty of vegetarian options if you're looking for one.	Cuisines Restaurant	Ipoh
Vincent Hong	5	Food is delicious ðŸ˜‹5 star serviceðŸ‘ðŸ»The environment is very beautifulðŸ‘ðŸ»	Cuisines Restaurant	Ipoh
Nessa Sarun	5	Went here for the smoke duck. Was told its pork, lard free. They serve alcohol drinks here.	Yuk Sou Hin	Ipoh
Ashley Goh Jr.	4	Yuk Sou Hin has got the best dim sum in Ipoh in my opinion. There are only 2 possible outcomes when you eat their dim sums: a moment of silence as you ruminate over those soothingly delicate morsels or a gasp of amazement by the unexpected	Yuk Sou Hin	Ipoh
çº¯ç²¹äº«	5	Spacious restaurant, friendly staffs and decent foods.  However the parking will be an issue.	Yuk Sou Hin	Ipoh
Hanako M.	5	Awesome Halal dim sum restaurant located in Weil hotel, Ipoh. Takeaway is also fantastic.	Yuk Sou Hin	Ipoh
sTeve wong	3	Prefer digital payment. Duit Now. Due to pandemic. Hygience most important.	Yuk Sou Hin	Ipoh
Joel Yeo	5	The duck is one of the best i ever had!! Overall its great experiences	Yuk Sou Hin	Ipoh
vi fam	5	Their smoked duck is very delicious, highly recommended.	Yuk Sou Hin	Ipoh
CH Yau	5	Great food & service, friendly & knowledgeable waitress helped to recommend the dishes & portions to order.	Yuk Sou Hin	Ipoh
Danny Siew	5	When one thinks of dim sum in Ipoh, normally this place will not be the top of the list. My first visit changed my preconception of halal dim sum. It is even better than the more popular run-of-the-mill non-halal establishments in Ipoh, dim	Yuk Sou Hin	Ipoh
Yasmin Esa	5	Located in Ipoh's Weil Hotel, this restaurant serves up Halal Dimsum, and the best Duck you would ever have the pleasure of feasting on. Fragrant from being smoked with lychee wood, soft, and succulent, neither a dry nor tough bit could be	Yuk Sou Hin	Ipoh
Rochelle Lawson	5	Amazing smoked duck, fabulous service by Angeline. I even got a surprise mooncake with candle for my birthday. So sweet and kind!	Yuk Sou Hin	Ipoh
JonÃ¡s AnsÃ³	5	Good Dim Sum and Cheng fun	Yuk Sou Hin	Ipoh
B	5	Unique smoked roasted duck. So good that you would eat the beak!	Yuk Sou Hin	Ipoh
Weee Wang Wang	1	Our bill more expensive than the menu price. After eating a meal during the trip, I feel cheated. The price in the menu is different from when the money was given. A lot more expensive. It turned out that without our	Yuk Sou Hin	Ipoh
NIK ZULHILMI	2	Went there for the full course dinner. I expected the food to taste much better for the price that they charge. They seem to be putting more focus on showcasing the use of complex ingredients in the food rather than making the food taste	Jeff's Cellar	Ipoh
Yitpeng Ong	5	We came for drinks after dinner at The Pomelo.  Great ambiance.  Grace and crew were helpful and friendly.  It was a busy evening and a big group just came in. But they were speedy in setting up a table for us in a cosy spot in front of the	Jeff's Cellar	Ipoh
Shawn Ng	5	Nice experience. Nice ambience. But I'll prefer more on 3 course menu with bigger portion.	Jeff's Cellar	Ipoh
Resh	3	Average Fine Dining with Outstanding ambienceFirst of I would like to give my thanks, appreciation & Kudos to the team.	Jeff's Cellar	Ipoh
Anastasia Soh	5	One of A Kind Gastronomical ExperienceAt a glance, RM 675 did seem a little steep for a couple. But when the food	Jeff's Cellar	Ipoh
Texier JÃ©rÃ´me	5	One (and maybe) our best dinner since we are living in Malaysia.As French citizens, we normally not going to French restaurant but the menu was great and we tried. Everything was perfectly cooked (scalop, Foie Gras, Beef and	Jeff's Cellar	Ipoh
Chau Meifeng	5	Perfect for special occasion. Great food and service. I would like to recommend to all of you to go early if you want to enjoy the beauty of nature  that surrounding of this place. Really worth the experience and I love every moment of it!	Jeff's Cellar	Ipoh
D Wind	5	Amazing dining experience. Delicious food and excellent service. Came here for dinner with my wife as we were staying at the Banjaran.  When we arrived, we were brought into the amazing limestone Cave. The waiter was nice enough to help us	Jeff's Cellar	Ipoh
UWU	5	Me and my wife choosed both "Tanah" and "Chairmans Favourite'. Really impressed. A brilliant fusion of Malaysian Ipoh and Caucasian food with delicate flavoured entre which flows you to a superb herb and meat finale. The food expresses what	Jeff's Cellar	Ipoh
Ben Tam	4	In all honesty, the location is gorgeous. A lot of money were put into up keeping this dry with high standard decoration, which fully this place very well.	Jeff's Cellar	Ipoh
Jeannie L.	5	Wonderful cave dining experience. Excellent service. Perfect for special occasions. Food is awesome! Their fine dine food may look little but it's not. I could barely eat anymore when it comes to desserts.	Jeff's Cellar	Ipoh
